datetime,code,open,close,high,low,vol,avg_price,position,p_change,atr,buyin,sellin,buyexit,sellexit
2018-08-10,IF1808,3389.800048828125,3397.0,3416.60009765625,3368.800048828125,21525,3392.60009765625,23754,0.32,,,,,
2018-08-10,MA1901,3291.0,3245.0,3325.0,3223.0,1225248,3283.0,654534,-1.34,58.77155210472449,3368.0,2904.0,3001.0,3368.0
2018-08-10,I1901,515.0,506.5,518.0,505.0,995714,512.0,792830,-1.46,10.045100354566571,518.0,459.5,471.5,518.0
2018-08-10,TA1901,6724.0,6846.0,6938.0,6710.0,3496980,6844.0,1048972,1.97,109.22818932592085,6938.0,5722.0,6088.0,6938.0
2018-08-10,PP1901,10120.0,10085.0,10268.0,10010.0,473342,10145.0,469078,-0.34,124.3330016803875,10268.0,9185.0,9495.0,10268.0
2018-08-10,JD1901,3920.0,3902.0,3966.0,3896.0,178794,3929.0,117242,-0.23,50.91733168666117,3966.0,3687.0,3694.0,3966.0
2018-08-10,JM1901,1275.5,1237.0,1283.0,1232.0,296490,1262.0,217208,-3.02,31.446826372738663,1295.0,1115.0,1155.5,1295.0
2018-08-10,L1901,9715.0,9690.0,9790.0,9655.0,250980,9710.0,380236,-0.21,98.44289076492046,9860.0,9130.0,9345.0,9860.0
2018-08-10,P1901,4950.0,4970.0,4992.0,4924.0,246514,4956.0,443344,0.44,56.09867551220317,4992.0,4666.0,4818.0,4992.0
2018-08-10,Y1901,5918.0,5896.0,5918.0,5874.0,327426,5894.0,798930,-0.3,62.16067517848769,5930.0,5588.0,5768.0,5930.0
2018-08-10,AG1812,3685.0,3678.0,3692.0,3675.0,232230,3683.0,752692,-0.14,24.263412187361634,3731.0,3644.0,3670.0,3716.0
2018-08-10,RB1901,4100.0,4033.0,4125.0,4032.0,1762810,4090.0,1624388,-1.51,68.90966320954348,4142.0,3676.0,3923.0,4142.0
2018-08-10,J1901,2450.0,2420.5,2507.0,2420.0,543396,2458.0,324882,-1.2,59.44877875784798,2507.0,1964.5,2189.5,2507.0
2018-08-10,HC1901,4113.0,4055.0,4130.0,4055.0,160430,4102.0,275870,-1.29,64.66095456036325,4163.0,3800.0,3982.0,4163.0
2018-08-10,ZC1901,614.7999877929688,613.0,618.2000122070312,611.4000244140625,142354,615.2000122070312,184738,-0.65,10.632459404313096,627.7999267578125,578.2000122070312,578.2000122070312,627.7999267578125
2018-08-10,BU1812,3376.0,3356.0,3400.0,3346.0,513298,3372.0,479606,-0.42,70.00354556117256,3458.0,3190.0,3216.0,3458.0
2018-08-10,ZN1810,21700.0,21285.0,21810.0,21240.0,544466,21540.0,184772,-1.44,454.21932256293695,21810.0,19930.0,20695.0,21810.0
2018-08-10,CF1901,17310.0,17310.0,17375.0,17220.0,381172,17305.0,539760,0.17,319.19544519911665,19250.0,16045.0,16485.0,17555.0
2018-08-10,AL1810,14835.0,14620.0,14840.0,14585.0,294956,14675.0,281184,-1.38,165.99925255139078,15220.0,13945.0,14050.0,14885.0
2018-08-10,A1901,3778.0,3774.0,3847.0,3758.0,327098,3799.0,242704,0.0,55.00653324968141,3880.0,3566.0,3566.0,3847.0
2018-08-10,OI1901,6663.0,6660.0,6684.0,6626.0,177814,6659.0,395254,0.0,78.84564365036508,7314.0,6396.0,6396.0,6690.0
2018-08-10,FG1901,1431.0,1430.0,1445.0,1425.0,224694,1435.0,183534,-0.14,18.345390927503715,1445.0,1332.0,1381.0,1445.0
2018-08-10,SR1901,5152.0,5130.0,5176.0,5119.0,535788,5148.0,391994,-0.33,73.1156907172107,5621.0,4850.0,4939.0,5197.0
2018-08-10,M1901,3280.0,3279.0,3299.0,3265.0,1204398,3281.0,2232768,0.0,52.09469695578572,3317.0,2942.0,3063.0,3317.0
2018-08-10,AP1901,11093.0,11179.0,11294.0,11080.0,329842,11184.0,220286,0.44,298.03412690943355,11696.0,9493.0,10298.0,11696.0
2018-08-10,SM1901,8310.0,8470.0,8610.0,8310.0,60502,8520.0,74632,1.71,145.95242121212726,8610.0,7536.0,7782.0,8610.0
2018-08-10,NI1901,114800.0,113510.0,115050.0,113310.0,71182,114160.0,77984,-0.83,2259.209347289173,115050.0,107700.0,108220.0,115050.0
2018-08-10,RU1901,12600.0,12380.0,12740.0,12305.0,548688,12540.0,308994,-1.59,282.23935814393116,12740.0,11545.0,11735.0,12740.0
2018-08-10,SN1901,149500.0,147640.0,149690.0,147580.0,6038,148560.0,18310,-1.11,1581.9829868660422,150950.0,145650.0,147510.0,150950.0
